new_spot_id,rename,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD_1,VISIT_AREA_TYPE_CD_2,VISIT_AREA_TYPE_CD_3,VISIT_AREA_TYPE_CD_4,VISIT_AREA_TYPE_CD_5,VISIT_AREA_TYPE_CD_6,VISIT_AREA_TYPE_CD_7,VISIT_AREA_TYPE_CD_8,REVISIT_INTENTION,RCMDTN_INTENTION
spot_158,걸매생태공원,82.5,자연관광지,missing,missing,missing,missing,missing,missing,missing,5.0,5.0
spot_159,엉또폭포,39.0,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,4.4,4.3
spot_160,제주동문수산시장,60.0,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,3.8333333333333335,3.9166666666666665
spot_163,애월카페거리,61.76470588235294,"상업지구(거리, 시장, 쇼핑시설)",missing,missing,missing,missing,missing,missing,missing,4.235294117647059,4.313725490196078
spot_164,도두봉공원,43.333333333333336,자연관광지,missing,missing,missing,missing,missing,missing,missing,3.888888888888889,4.222222222222222
spot_165,로봇플래닛,90.0,"문화 시설(공연장, 영화관, 전시관 등)","테마시설(놀이공원, 워터파크)",체험 활동 관광지,missing,missing,missing,missing,missing,3.5,3.8333333333333335
spot_167,망루등대,17.142857142857142,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",체험 활동 관광지,"산책로, 둘레길 등",missing,missing,missing,missing,3.5714285714285716,3.5714285714285716
spot_168,산굼부리,69.609375,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)","산책로, 둘레길 등",체험 활동 관광지,missing,missing,missing,missing,4.34375,4.5078125
spot_169,화조원,102.85714285714286,체험 활동 관광지,"테마시설(놀이공원, 워터파크)",자연관광지,missing,missing,missing,missing,missing,4.142857142857143,4.380952380952381
spot_170,너븐숭이4.3기념관,33.75,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,missing,missing,3.5,3.875
spot_171,아끈다랑쉬오름,43.84615384615385,자연관광지,"산책로, 둘레길 등",missing,missing,missing,missing,missing,missing,3.5384615384615383,3.6923076923076925
spot_172,동방파제,85.71428571428571,자연관광지,"레저/스포츠 관련 시설(스키, 카트, 수상레저)",체험 활동 관광지,지역 축제/행사,missing,missing,missing,missing,4.285714285714286,4.285714285714286
spot_173,용연계곡,37.0,자연관광지,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,missing,4.0,4.033333333333333
spot_174,사려니숲길,70.08403361344538,자연관광지,"산책로, 둘레길 등",체험 활동 관광지,missing,missing,missing,missing,missing,4.369747899159663,4.487394957983193
spot_175,금능석물원,45.0,"역사/유적/종교 시설(문화재, 박물관, 촬영지, 절 등)",missing,missing,missing,missing,missing,missing,missing,4.0,4.0
spot_176,서복전시관,35.0,"문화 시설(공연장, 영화관, 전시관 등)",missing,missing,missing,missing,missing,missing,missing,3.25,3.25
spot_177,제주현대미술관,63.0,"문화 시설(공연장, 영화관, 전시관 등)",missing,missing,missing,missing,missing,missing,missing,4.46,4.5
