TRAVEL_ID,spot_id,DGSTFN
d_d002237,spot_279,4.0
d_d001147,spot_206,5.0
d_d000435,spot_281,3.0
a_a008642,spot_282,5.0
d_d000018,spot_284,3.0
d_d004056,spot_285,3.0
d_d007518,spot_147,3.0
d_d003169,spot_286,5.0
d_d002348,spot_166,5.0
d_d009967,spot_209,4.0
d_d003108,spot_288,5.0
d_d002382,spot_289,3.0
d_d010309,spot_291,3.0
d_d001272,spot_292,4.0
d_d010686,spot_119,5.0
d_d007057,spot_89,5.0
d_d001385,spot_250,2.0
d_d004661,spot_16,4.0
d_d000795,spot_295,5.0
d_d003563,spot_286,5.0
d_d002187,spot_272,4.0
d_d009638,spot_224,3.0
d_d000249,spot_296,5.0
d_d000150,spot_297,4.0
d_d012235,spot_298,2.0
d_d001394,spot_155,5.0
d_d001967,spot_300,5.0
d_d000663,spot_301,3.0
d_d005620,spot_302,4.0
d_d000173,spot_62,5.0
d_d004363,spot_303,3.0
d_d001011,spot_42,5.0
d_d005338,spot_304,3.0
d_d010562,spot_305,5.0
d_d005149,spot_306,5.0
d_d007968,spot_307,5.0
d_d000583,spot_69,5.0
d_d010193,spot_202,4.0
d_d006063,spot_211,5.0
d_d002856,spot_119,5.0
d_d000463,spot_119,4.0
d_d001275,spot_57,5.0
d_d002050,spot_69,5.0
d_d009942,spot_209,4.0
d_d000956,spot_91,4.0
d_d004730,spot_39,5.0
d_d007809,spot_31,5.0
d_d004269,spot_315,5.0
d_d012412,spot_317,4.0
d_d012367,spot_318,5.0
d_d000484,spot_206,5.0
d_d001083,spot_69,5.0
d_d001624,spot_21,5.0
d_d007393,spot_321,4.0
d_d009265,spot_322,5.0
d_d010521,spot_166,4.0
d_d000435,spot_16,4.0
d_d003876,spot_315,3.0
d_d012285,spot_10,4.0
d_d004211,spot_29,5.0
d_d006657,spot_89,4.0
d_d007761,spot_16,4.0
d_d004104,spot_324,5.0
d_d000622,spot_325,5.0
d_d004738,spot_93,4.0
d_d007782,spot_326,4.0
d_d009829,spot_328,5.0
d_d007611,spot_12,5.0
d_d000128,spot_209,4.0
d_d000996,spot_329,5.0
d_d000012,spot_330,5.0
d_d007799,spot_188,5.0
d_d001804,spot_332,5.0
d_d006122,spot_139,4.0
d_d001993,spot_228,3.0
d_d001340,spot_333,4.0
d_d007660,spot_62,4.0
d_d007523,spot_335,4.0
d_d009302,spot_336,5.0
d_d005903,spot_337,3.0
d_d007390,spot_338,3.0
d_d007019,spot_206,5.0
d_d001350,spot_75,4.0
d_d008117,spot_3,4.0
d_d005922,spot_339,4.0
d_d004526,spot_340,3.0
d_d006688,spot_97,2.0
d_d001340,spot_213,4.0
d_d004865,spot_322,4.0
d_d001439,spot_131,5.0
d_d002406,spot_341,5.0
d_d000878,spot_342,4.0
d_d001514,spot_343,5.0
d_d000161,spot_9,4.0
d_d010207,spot_16,5.0
d_d000018,spot_345,3.0
d_d005222,spot_347,1.0
d_d000074,spot_115,4.0
d_d001523,spot_348,4.0
d_d003762,spot_16,5.0
d_d002651,spot_38,3.0
d_d000534,spot_350,5.0
d_d000185,spot_115,3.0
d_d006018,spot_351,4.0
d_d002697,spot_40,5.0
d_d002223,spot_352,5.0
d_d008066,spot_330,5.0
d_d001541,spot_353,5.0
d_d003977,spot_22,5.0
d_d001832,spot_16,5.0
d_d000743,spot_120,5.0
d_d002869,spot_213,4.0
d_d004703,spot_355,5.0
d_d005992,spot_356,5.0
d_d010315,spot_357,4.0
d_d000364,spot_358,5.0
d_d010592,spot_19,5.0
d_d001713,spot_255,4.0
d_d001304,spot_120,5.0
d_d002473,spot_119,5.0
d_d005117,spot_203,5.0
d_d006189,spot_161,2.0
d_d001515,spot_119,4.0
d_d002252,spot_360,5.0
d_d002091,spot_206,5.0
d_d003735,spot_361,5.0
d_d009311,spot_362,4.0
d_d001760,spot_364,3.0
d_d001846,spot_365,4.0
d_d002917,spot_366,5.0
d_d001448,spot_3,5.0
a_a000839,spot_282,4.0
d_d010344,spot_370,3.0
d_d009840,spot_22,4.0
d_d001580,spot_38,3.0
d_d010177,spot_209,4.0
b_b006175,spot_371,4.0
d_d001579,spot_373,5.0
d_d007445,spot_126,5.0
d_d002105,spot_330,4.0
d_d001367,spot_119,5.0
d_d001232,spot_149,5.0
d_d002342,spot_9,4.0
d_d002275,spot_295,4.0
d_d001586,spot_350,5.0
d_d003131,spot_374,4.0
d_d010447,spot_31,5.0
d_d004391,spot_31,5.0
d_d000323,spot_377,5.0
d_d009967,spot_16,4.0
d_d001678,spot_132,5.0
d_d003356,spot_259,5.0
d_d008980,spot_378,4.0
d_d003736,spot_162,4.0
d_d002264,spot_295,5.0
d_d004747,spot_379,4.0
d_d002450,spot_82,5.0
d_d007129,spot_34,5.0
d_d001370,spot_380,4.0
d_d003841,spot_161,3.0
d_d001418,spot_381,4.0
d_d012336,spot_382,4.0
d_d000182,spot_383,4.0
d_d012470,spot_382,3.0
d_d001904,spot_272,4.0
d_d000451,spot_384,4.0
d_d000895,spot_385,5.0
d_d000041,spot_16,5.0
d_d007486,spot_90,5.0
d_d001396,spot_380,5.0
d_d003504,spot_19,3.0
d_d000849,spot_388,5.0
d_d000483,spot_16,5.0
d_d004004,spot_389,1.0
d_d000654,spot_156,4.0
d_d008242,spot_390,4.0
d_d004914,spot_115,4.0
d_d000181,spot_391,5.0
d_d001293,spot_11,5.0
d_d000751,spot_393,3.0
d_d000496,spot_22,5.0
d_d002818,spot_396,3.0
d_d010178,spot_265,5.0
d_d001861,spot_365,5.0
d_d006148,spot_337,5.0
d_d005892,spot_397,4.0
d_d010272,spot_62,5.0
d_d000258,spot_115,5.0
d_d001701,spot_400,4.0
d_d002091,spot_401,4.0
d_d003545,spot_402,5.0
d_d005158,spot_404,5.0
d_d006007,spot_405,4.0
d_d006731,spot_209,5.0
d_d000751,spot_21,5.0
d_d002428,spot_141,5.0
d_d001883,spot_407,5.0
d_d004222,spot_62,5.0
d_d006740,spot_206,5.0
d_d004236,spot_155,5.0
d_d002345,spot_82,4.0
d_d001987,spot_3,5.0
d_d001220,spot_115,5.0
d_d003456,spot_166,5.0
d_d004865,spot_209,3.0
d_d001662,spot_411,4.0
d_d000265,spot_404,3.0
d_d001345,spot_414,4.0
d_d000291,spot_273,4.0
d_d010203,spot_415,3.0
d_d002304,spot_200,4.0
d_d002802,spot_416,5.0
d_d000153,spot_417,5.0
d_d000718,spot_16,4.0
d_d004571,spot_418,3.0
d_d000150,spot_89,5.0
d_d002638,spot_149,5.0
d_d002361,spot_420,4.0
d_d002734,spot_149,5.0
d_d011086,spot_131,5.0
d_d004425,spot_421,4.0
d_d001078,spot_82,5.0
d_d007728,spot_422,4.0
d_d003604,spot_132,5.0
d_d012443,spot_211,5.0
d_d002824,spot_57,5.0
d_d007155,spot_81,4.0
d_d002259,spot_149,5.0
d_d011469,spot_115,5.0
d_d005811,spot_423,5.0
d_d001135,spot_424,4.0
d_d012325,spot_426,4.0
d_d005935,spot_429,4.0
d_d004888,spot_286,5.0
d_d012341,spot_110,4.0
d_d002554,spot_19,4.0
d_d004780,spot_82,5.0
d_d007600,spot_430,5.0
d_d005997,spot_203,5.0
d_d000729,spot_432,5.0
d_d009933,spot_128,1.0
d_d002917,spot_434,5.0
d_d010056,spot_147,4.0
d_d000534,spot_10,5.0
d_d010215,spot_209,4.0
d_d006977,spot_8,5.0
d_d010496,spot_401,3.0
d_d001027,spot_437,3.0
d_d000326,spot_326,5.0
d_d000221,spot_82,2.0
d_d009568,spot_81,4.0
d_d009548,spot_303,4.0
d_d006659,spot_438,4.0
d_d008119,spot_147,5.0
d_d002687,spot_119,4.0
d_d009475,spot_286,5.0
d_d007859,spot_441,5.0
d_d009041,spot_278,2.0
d_d000441,spot_16,4.0
d_d000870,spot_442,5.0
d_d010113,spot_9,4.0
d_d002852,spot_168,5.0
d_d001987,spot_21,5.0
d_d004285,spot_444,5.0
d_d010496,spot_82,5.0
d_d002574,spot_288,2.0
d_d000801,spot_333,2.0
d_d002838,spot_94,3.0
d_d003815,spot_445,5.0
d_d004883,spot_40,5.0
d_d000657,spot_446,4.0
d_d002052,spot_245,4.0
d_d010760,spot_447,5.0
d_d002850,spot_82,4.0
d_d004633,spot_382,5.0
d_d000079,spot_89,2.0
d_d000388,spot_42,4.0
d_d002483,spot_69,5.0
d_d000339,spot_296,5.0
d_d004324,spot_451,4.0
d_d009769,spot_115,4.0
d_d009696,spot_452,5.0
d_d004168,spot_453,5.0
d_d000339,spot_69,5.0
d_d001558,spot_380,4.0
d_d000209,spot_455,5.0
d_d006357,spot_119,5.0
d_d002527,spot_457,3.0
d_d001561,spot_458,5.0
d_d002345,spot_69,5.0
d_d002103,spot_42,4.0
d_d004040,spot_272,4.0
d_d001209,spot_3,4.0
d_d003928,spot_213,4.0
d_d005979,spot_129,5.0
d_d000007,spot_62,5.0
d_d004702,spot_461,3.0
d_d004122,spot_141,5.0
